gene,id,Disease-OMIM,Type,OMIM_ID,Mondo,Severity
FLAD1,610595,"Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 (3), Autosomal recessive",Metabolic,OMIM:255100,MONDO:0009703,Profound
FLNA,300017,"FG syndrome 2, 300321 (3)",Developmental,OMIM:300321,,
FLNB,603381,"Spondylocarpotarsal synostosis syndrome, 272460 (3)",Skeletal,OMIM:272460,MONDO:0010094,Severe
FLVCR1,609144,"Ataxia, posterior column, with retinitis pigmentosa, 609033 (3)",Neurodegenerative,OMIM:609033,MONDO:0012177,Profound
FLVCR2,610865,"Proliferative vasculopathy and hydraencephaly-hydrocephaly syndrome, 225790 (3)",Developmental,OMIM:225790,MONDO:0009168,Profound
FMR1,309550,Fragile X syndrome,Developmental,,,
FOLR1,136430,"Neurodegeneration due to cerebral folate transport deficiency, 613068 (3)",Neurodegenerative,OMIM:613068,MONDO:0013110,Profound
FOXE3,601094,"Aphakia, congenital primary, 610256 (3)",Ocular,OMIM:610256,MONDO:0012456,Severe
FOXN1,600838,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3)",Immunodeficiency,OMIM:601705,MONDO:0011132,Moderate
FOXP3,300292,"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked, 304790 (3)",Immunodeficiency,OMIM:304790,MONDO:0010580,Profound
FOXRED1,613622,"Mitochondrial complex I deficiency, 252010 (3)",Mitochondrial,OMIM:252010,MONDO:0009640,
FRAS1,607830,"Fraser syndrome, 219000 (3)",Developmental,OMIM:219000,MONDO:0054737,Profound
FREM1,608944,"Bifid nose with or without anorectal and renal anomalies, 608980 (3)",Developmental,OMIM:608980,MONDO:0012165,Severe
FREM2,608945,"Fraser syndrome, 219000 (3)",Developmental,OMIM:219000,MONDO:0054737,Profound
FRRS1L,604574,"Epileptic encephalopathy, early infantile, 37, 616981 (3), Autosomal recessive",Neurologic,OMIM:616981,MONDO:0014859,Profound
FTCD,606806,"Glutamate formiminotransferase deficiency, 229100 (3)",Metabolic,OMIM:229100,MONDO:0009240,Profound
FTO,610966,"Growth retardation, developmental delay, coarse facies, and early death, 612938 (3)",Developmental,OMIM:612938,MONDO:0013050,Profound
FTSJ1,300499,"Mental retardation, X-linked 9, 309549 (3)",Neurologic,OMIM:309549,MONDO:0010660,Profound
FUCA1,612280,"Fucosidosis, 230000 (3)",Lysosomal,OMIM:230000,MONDO:0009254,Profound
FYCO1,607182,"Cataract 18, autosomal recessive, 610019 (3)",Ocular,OMIM:610019,MONDO:0012395,Moderate
G6PC,613742,"Glycogen storage disease Ia, 232200 (3)",Metabolic,OMIM:232200,MONDO:0009287,Severe
G6PC3,611045,"Dursun syndrome, 612541 (3)",Immunodeficiency,OMIM:612541,MONDO:0012930,Profound
GAA,606800,"Glycogen storage disease II, 232300 (3)",Lysosomal,OMIM:232300,MONDO:0009290,Profound
GALC,606890,"Krabbe disease, 245200 (3)",Lysosomal,OMIM:245200,MONDO:0009499,Profound
GALNS,612222,"Mucopolysaccharidosis IVA, 253000 (3)",Lysosomal,OMIM:253000,MONDO:0009659,Severe
GAMT,601240,"Cerebral creatine deficiency syndrome 2, 612736 (3)",Metabolic,OMIM:612736,MONDO:0012999,Profound
GAN,605379,"Giant axonal neuropathy-1, 256850 (3)",Neurodegenerative,OMIM:256850,MONDO:0009749,Profound
GAS8,605178,"Ciliary dyskinesia, primary, 33, 616726 (3), Autosomal recessive",Respiratory,OMIM:616726,MONDO:0014750,Moderate
GATM,602360,"Cerebral creatine deficiency syndrome 3, 612718 (3)",Metabolic,OMIM:612718,MONDO:0012996,Profound
GBA,606463,"Gaucher disease, perinatal lethal, 608013 (3)",Metabolic,OMIM:608013,MONDO:0011945,Profound
GBA2,609471,"Spastic paraplegia 46, autosomal recessive, 614409 (3)",Neuromuscular,OMIM:614409,MONDO:0013737,Profound
GBE1,607839,"Glycogen storage disease IV, 232500 (3)",Metabolic,OMIM:232500,MONDO:0009292,Profound
GCDH,608801,"Glutaricaciduria, type I, 231670 (3)",Metabolic,OMIM:231670,MONDO:0009281,Profound
GCH1,600225,"Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230 (3)",Neuromuscular,OMIM:128230,MONDO:0007495,Severe
GDAP1,606598,"Charcot-Marie-Tooth disease, recessive intermediate, A, 608340 (3)",Neuromuscular,OMIM:608340,MONDO:0012014,Severe
GDF1,602880,"Right atrial isomerism, 208530 (3)",Cardiovascular,OMIM:208530,MONDO:0008832,Severe
GDF5,601146,"Chondrodysplasia, Grebe type, 200700 (3)",Skeletal,OMIM:200700,MONDO:0008703,Profound
GDI1,300104,"Mental retardation, X-linked 41, 300849 (3)",Neurologic,OMIM:300849,MONDO:0010451,Profound
GFM1,606639,"Combined oxidative phosphorylation deficiency 1, 609060 (3)",Mitochondrial,OMIM:609060,MONDO:0012191,Profound
GFPT1,138292,"Myasthenia, congenital, 12, with tubular aggregates, 610542 (3)",Neuromuscular,OMIM:610542,MONDO:0012518,Severe
GHR,600946,"Laron dwarfism, 262500 (3)",Endocrine,OMIM:262500,MONDO:0009877,Severe
GJA1,121014,"Hypoplastic left heart syndrome 1, 241550 (3)",Cardiovascular,OMIM:241550,MONDO:0009433,
GJC2,608803,"Leukodystrophy, hypomyelinating, 2, 608804 (3)",Neurodegenerative,OMIM:608804,MONDO:0012125,Profound
GK,300474,"Glycerol kinase deficiency, 307030 (3)",Metabolic,OMIM:307030,MONDO:0010613,Profound
GLA,300644,"Fabry disease, 301500 (3)",Lysosomal,OMIM:301500,MONDO:0010526,Profound
GLB1,611458,"Mucopolysaccharidosis type IVB (Morquio), 253010 (3)",Lysosomal,OMIM:253010,MONDO:0009660,Profound
GLDC,238300,"Glycine encephalopathy, 605899 (3)",Metabolic,OMIM:605899,MONDO:0958179,Profound
GLDN,608603,"Lethal congenital contracture syndrome 11, 617194 (3), Autosomal recessive",Neuromuscular,OMIM:617194,MONDO:0014965,Severe
GLE1,603371,"Arthrogryposis, lethal, with anterior horn cell disease, 611890 (3)",Neuromuscular,OMIM:611890,MONDO:0012750,Profound
GLIS3,610192,"Diabetes mellitus, neonatal, with congenital hypothyroidism, 610199 (3)",Metabolic,OMIM:610199,MONDO:0012436,Profound
GLYCTK,610516,"D-glyceric aciduria, 220120 (3)",Metabolic,OMIM:220120,MONDO:0009070,Profound
GM2A,613109,"GM2-gangliosidosis, AB variant, 272750 (3)",Neurologic,OMIM:272750,MONDO:0010099,Profound
GMPPA,615495,"Alacrima, achalasia, and mental retardation syndrome, 615510 (3)",Neurologic,OMIM:615510,MONDO:0014219,Profound
GMPPB,615320,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, 615352 (3)",Neuromuscular,OMIM:615352,MONDO:0014142,Profound
GNAT2,139340,"Achromatopsia-4, 613856 (3)",Ocular,OMIM:613856,MONDO:0013465,Moderate
GNB5,604447,"Intellectual developmental disorder with cardiac arrhythmia, 617173 (3), Autosomal recessive",Developmental,OMIM:617173,MONDO:0014953,Profound
GNE,603824,"Inclusion body myopathy, autosomal recessive, 600737 (3)",Neuromuscular,OMIM:600737,,
GNPAT,602744,"Chondrodysplasia punctata, rhizomelic, type 2, 222765 (3)",Skeletal,OMIM:222765,MONDO:0009112,Profound
GNPTAB,607840,"Mucolipidosis III alpha/beta, 252600 (3)",Lysosomal,OMIM:252600,MONDO:0018931,Profound
GNPTG,607838,"Mucolipidosis III gamma, 252605 (3)",Metabolic,OMIM:252605,MONDO:0009652,Profound
GNS,607664,"Mucopolysaccharidosis type IIID, 252940 (3)",Lysosomal,OMIM:252940,MONDO:0009658,Profound
GORAB,607983,"Geroderma osteodysplasticum, 231070 (3)",Skeletal,OMIM:231070,MONDO:0009271,Profound
GOSR2,604027,"Epilepsy, progressive myoclonic 6, 614018 (3)",Neurologic,OMIM:614018,MONDO:0013526,Severe
GPAA1,603048,"Glycosylphosphatidylinositol biosynthesis defect 15, 617810 (3), Autosomal recessive",Metabolic,OMIM:617810,MONDO:0060627,Profound
GPC3,300037,"Simpson-Golabi-Behmel syndrome, type 1, 312870 (3)",Developmental,OMIM:312870,MONDO:0020602,Profound
GPC3,300037,"Simpson-Golabi-Behmel syndrome, type 1, 312870 (3)",Developmental,OMIM:312870,MONDO:0020602,Profound
GPC6,604404,"Omodysplasia 1, 258315 (3)",Skeletal,OMIM:258315,MONDO:0009779,Severe
GPHN,603930,"Molybdenum cofactor deficiency C, 615501 (3)",Metabolic,OMIM:615501,MONDO:0014212,Profound
GPR143,300808,"Ocular albinism, type I, Nettleship-Falls type, 300500 (3)",Ocular,OMIM:300500,MONDO:0021019,Moderate
GPR179,614515,"Night blindness, congenital stationary (complete), 1E, autosomal recessive, 614565 (3)",Ocular,OMIM:614565,MONDO:0013807,Moderate
GPSM2,609245,"Chudley-McCullough syndrome, 604213 (3)",Neurologic,OMIM:604213,MONDO:0011411,Profound
GPT2,138210,"Mental retardation, autosomal recessive 49, 616281 (3)",Developmental,OMIM:616281,MONDO:0014567,Profound
GRM1,604473,"Spinocerebellar ataxia, autosomal recessive 13, 614831 (3)",Neurologic,OMIM:614831,MONDO:0013905,Profound
GSS,601002,"Glutathione synthetase deficiency, 266130 (3)",Metabolic,OMIM:266130,MONDO:0009947,Severe
GTF2H5,608780,"Trichothiodystrophy 3, photosensitive, 616395 (3)",Cutaneous,OMIM:616395,MONDO:0014619,Profound
GTPBP3,608536,"Combined oxidative phosphorylation deficiency 23, 616198 (3)",Mitochondrial,OMIM:616198,MONDO:0014525,Profound
GUCY1A1,139396,"Moyamoya 6 with achalasia, 615750 (3)",Cardiovascular,OMIM:615750,MONDO:0014331,Severe
GUCY2C,601330,"Meconium ileus, 614665 (3)",Gastroenterologic,OMIM:614665,MONDO:0013843,Moderate
GUCY2D,600179,"Leber congenital amaurosis 1, 204000 (3)",Ocular,OMIM:204000,MONDO:0008764,Severe
GUSB,611499,"Mucopolysaccharidosis VII, 253220 (3)",Lysosomal,OMIM:253220,MONDO:0009662,Profound
GYS2,138571,"Glycogen storage disease 0, liver, 240600 (3)",Metabolic,OMIM:240600,MONDO:0009414,Severe
HACE1,610876,"Spastic paraplegia and psychomotor retardation with or without seizures, 616756 (3), Autosomal recessive",Neuromuscular,OMIM:616756,MONDO:0014764,Profound
HADH,601609,"3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 (3)",Metabolic,OMIM:231530,MONDO:0017715,Profound
HADHA,600890,"Fatty liver, acute, of pregnancy, 609016 (3)",Metabolic,OMIM:609016,MONDO:0012173,Profound
HADHB,143450,"Trifunctional protein deficiency, 609015 (3)",Mitochondrial,OMIM:609015,MONDO:0012172,
HAMP,606464,"Hemochromatosis, type 2B, 613313 (3)",Metabolic,OMIM:613313,MONDO:0013220,Severe
HAX1,605998,"Neutropenia, severe congenital 3, autosomal recessive, 610738 (3)",Immunodeficiency,OMIM:610738,MONDO:0012548,Profound
HBB,141900,"Thalassemias, beta-, 613985 (3)",Hematologic,OMIM:613985,MONDO:0013517,Mild
HCFC1,300019,"Mental retardation, X-linked 3 (methylmalonic acidemia and homocysteinemia, cblX type ), 309541 (3)",Neurologic,OMIM:309541,MONDO:0010657,Profound
HEPACAM,611642,"Megalencephalic leukoencephalopathy with subcortical cysts 2A, 613925 (3)",Neurodegenerative,OMIM:613925,MONDO:0013490,Profound
HERC2,605837,"Mental retardation, autosomal recessive 38, 615516 (3)",Neurologic,OMIM:615516,MONDO:0014224,Profound
HES7,608059,"Spondylocostal dysostosis 4, autosomal recessive, 613686 (3)",Skeletal,OMIM:613686,MONDO:0013366,Severe
HESX1,601802,"Septooptic dysplasia, 182230 (3)",Endocrine,OMIM:182230,MONDO:0008428,Profound
HEXA,606869,"Tay-Sachs disease, 272800 (3)",Lysosomal,OMIM:272800,MONDO:0010100,Profound
HEXB,606873,"Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3)",Lysosomal,OMIM:268800,MONDO:0010006,Profound
HGSNAT,610453,"Mucopolysaccharidosis type IIIC (Sanfilippo C), 252930 (3)",Lysosomal,OMIM:252930,MONDO:0009657,Profound
HIBCH,610690,"3-hydroxyisobutryl-CoA hydrolase deficiency, 250620 (3)",Metabolic,OMIM:250620,MONDO:0009603,Profound
HINT1,601314,"Neuromyotonia and axonal neuropathy, autosomal recessive, 137200 (3)",Neuromuscular,OMIM:137200,MONDO:0007646,Severe
HJV,608374,"Hemochromatosis, type 2A, 602390 (3)",Metabolic,OMIM:602390,MONDO:0011216,Profound
HK1,142600,"Neuropathy, hereditary motor and sensory, Russe type, 605285 (3)",Neuromuscular,OMIM:605285,MONDO:0011534,Severe
HLCS,609018,"Holocarboxylase synthetase deficiency, 253270 (3)",Metabolic,OMIM:253270,MONDO:0009666,Severe
HMGCL,613898,"HMG-CoA lyase deficiency, 246450 (3)",Metabolic,OMIM:246450,MONDO:0009520,Profound
HMGCS2,600234,"HMG-CoA synthase-2 deficiency, 605911 (3)",Mitochondrial,OMIM:605911,MONDO:0011614,Severe
HOXA1,142955,"Athabaskan brainstem dysgenesis syndrome, 601536 (3)",Neurodegenerative,OMIM:601536,MONDO:0011099,Severe
HPD,609695,"Tyrosinemia, type III, 276710 (3)",Metabolic,OMIM:276710,MONDO:0010162,Profound
HPGD,601688,"Cranioosteoarthropathy, 259100 (3)",Skeletal,OMIM:259100,MONDO:0024546,Severe
HPRT1,308000,"Lesch-Nyhan syndrome, 300322 (3)",Metabolic,OMIM:300322,MONDO:0010298,Profound
HPS1,604982,"Hermansky-Pudlak syndrome 1, 203300 (3)",Developmental,OMIM:203300,MONDO:0008748,Severe
HPS3,606118,"Hermansky-Pudlak syndrome 3, 614072 (3)",Developmental,OMIM:614072,MONDO:0013555,Moderate
HPS4,606682,"Hermansky-Pudlak syndrome 4, 614073 (3)",Developmental,OMIM:614073,MONDO:0013556,Severe
HPS5,607521,"Hermansky-Pudlak syndrome 5, 614074 (3)",Developmental,OMIM:614074,MONDO:0013557,Moderate
HPS6,607522,"Hermansky-Pudlak syndrome 6, 614075 (3)",Developmental,OMIM:614075,MONDO:0013558,Severe
HPSE2,613469,"Urofacial syndrome 1, 236730 (3)",Renal,OMIM:236730,MONDO:0009368,Severe
HSD17B10,300256,HSD10 mitochondrial disease,Mitochondrial,,,
HSD17B4,601860,"D-bifunctional protein deficiency, 261515 (3)",Metabolic,OMIM:261515,MONDO:0009855,Profound
HSD3B2,613890,"3-beta-hydroxysteroid dehydrogenase, type II, deficiency, 201810 (3)",Endocrine,OMIM:201810,MONDO:0008727,Profound
HSD3B7,607764,"Bile acid synthesis defect, congenital, 1, 607765 (3)",Gastroenterologic,OMIM:607765,MONDO:0011906,Profound
HSPD1,118190,"Leukodystrophy, hypomyelinating, 4, 612233 (3)",Neurodegenerative,OMIM:612233,MONDO:0012824,Profound
HSPG2,142461,"Schwartz-Jampel syndrome, type 1, 255800 (3)",Developmental,OMIM:255800,MONDO:0100435,Severe
HTRA2,606441,"3-methylglutaconic aciduria, type VIII, 617248 (3), Autosomal recessive",Metabolic,OMIM:617248,MONDO:0044723,Profound
HUWE1,300697,"Mental retardation, X-linked syndromic, Turner type, 300706 (3)",Neurologic,OMIM:300706,,
HYDIN,610812,"Ciliary dyskinesia, primary, 5, 608647 (3)",Respiratory,OMIM:608647,MONDO:0012088,Severe
HYLS1,610693,"Hydrolethalus syndrome, 236680 (3)",Developmental,OMIM:236680,MONDO:0009365,Profound
IARS1,600709,"Growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy, 617093 (3), Autosomal recessive",Developmental,OMIM:617093,MONDO:0014911,Profound
IARS2,612801,"?Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",Developmental,,,
IBA57,615316,"Multiple mitochondrial dysfunctions syndrome 3, 615330 (3), Autosomal recessive",Mitochondrial,OMIM:615330,MONDO:0014132,Profound
ICOS,604558,"Immunodeficiency, common variable, 1, 607594 (3)",Immunodeficiency,OMIM:607594,MONDO:0011864,Severe
IDS,300823,"Mucopolysaccharidosis II, 309900 (3)",Lysosomal,OMIM:309900,MONDO:0010674,Profound
IDUA,252800,"Mucopolysaccharidosis Ih, 607014 (3)",Lysosomal,OMIM:607014,MONDO:0011758,Profound
IER3IP1,609382,"Microcephaly, epilepsy, and diabetes syndrome, 614231 (3)",Developmental,OMIM:614231,MONDO:0013647,
IFNGR1,107470,"Immunodeficiency 27A, mycobacteriosis, AR, 209950 (3)",Immunodeficiency,OMIM:209950,MONDO:0008856,Severe
IFNGR2,147569,"Immunodeficiency 28, mycobacteriosis, 614889 (3)",Immunodeficiency,OMIM:614889,MONDO:0013953,Moderate
IFT122,606045,"Cranioectodermal dysplasia 1, 218330 (3)",Skeletal,OMIM:218330,MONDO:0021093,Profound
IFT140,614620,"Short-rib thoracic dysplasia 9 with or without polydactyly, 266920 (3)",Skeletal,OMIM:266920,MONDO:0009964,Profound
IFT172,607386,"Short-rib thoracic dysplasia 10 with or without polydactyly, 615630 (3)",Skeletal,OMIM:615630,MONDO:0014284,Profound
IFT80,611177,"Short-rib thoracic dysplasia 2 with or without polydactyly, 611263 (3)",Skeletal,OMIM:611263,MONDO:0012644,Severe
IGF1R,147370,"Insulin-like growth factor I, resistance to, 270450 (3)",Metabolic,OMIM:270450,MONDO:0010038,Profound
IGFBP7,602867,"Retinal arterial macroaneurysm with supravalvular pulmonic stenosis, 614224 (3)",Ocular,OMIM:614224,MONDO:0013640,Moderate
IGHM,147020,"Agammaglobulinemia 1, 601495 (3)",Immunodeficiency,OMIM:601495,MONDO:0020729,Severe
IGHMBP2,600502,"Neuronopathy, distal hereditary motor, type VI, 604320 (3)",Neuromuscular,OMIM:604320,MONDO:0011436,Profound
IKBKB,603258,"Immunodeficiency 15, 615592 (3)",Immunodeficiency,OMIM:615592,MONDO:0014267,Severe
IKBKG,300248,"Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency, 300301 (3)",Cutaneous,OMIM:300301,,
IL10RA,146933,"Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3)",Gastroenterologic,OMIM:613148,MONDO:0013153,Severe
IL11RA,600939,"Craniosynostosis and dental anomalies, 614188 (3)",Skeletal,OMIM:614188,MONDO:0013615,Severe
IL12RB1,601604,"Immunodeficiency 30, 614891 (3)",Immunodeficiency,OMIM:614891,MONDO:0013955,Profound
IL17RA,147200,"Immunodeficiency 51, 613953 (3), Autosomal recessive",Immunodeficiency,OMIM:613953,MONDO:0013500,Moderate
IL1RAPL1,300206,"Mental retardation, X-linked 21/34, 300143 (3)",Neurologic,OMIM:300143,MONDO:0010256,Severe
IL1RN,147679,"Interleukin 1 receptor antagonist deficiency, 612852 (3)",Developmental,OMIM:612852,MONDO:0013021,Severe
IL2RG,308380,"Severe combined immunodeficiency, X-linked, 300400 (3)",Immunodeficiency,OMIM:300400,MONDO:0010315,Profound
IL7R,146661,"Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type, 608971 (3)",Immunodeficiency,OMIM:608971,MONDO:0012163,Severe
IMPG2,607056,"Retinitis pigmentosa 56, 613581 (3)",Ocular,OMIM:613581,MONDO:0013314,Severe
INPP5E,613037,"Joubert syndrome 1, 213300 (3)",Neurologic,OMIM:213300,MONDO:0008944,Profound
INPP5K,607875,"Muscular dystrophy, congenital, with cataracts and intellectual disability, 617404 (3), Autosomal recessive",Neuromuscular,OMIM:617404,MONDO:0024607,Profound
INPPL1,600829,"Opsismodysplasia, 258480 (3)",Skeletal,OMIM:258480,MONDO:0009785,Profound
INSR,147670,"Leprechaunism, 246200 (3)",Metabolic,OMIM:246200,MONDO:0009517,Profound
INVS,243305,"Nephronophthisis 2, infantile, 602088 (3)",Renal,OMIM:602088,MONDO:0011190,Profound
IQCB1,609237,"Senior-Loken syndrome 5, 609254 (3)",Developmental,OMIM:609254,MONDO:0012225,Severe
IQSEC2,300522,"Mental retardation, X-linked 1, 309530 (3)",Neurologic,OMIM:309530,MONDO:0010656,Profound
ISCA2,615317,"Multiple mitochondrial dysfunctions syndrome 4, 616370 (3)",Mitochondrial,OMIM:616370,MONDO:0014611,Profound
ITCH,606409,"Autoimmune disease, multisystem, with facial dysmorphism, 613385 (3)",Immunodeficiency,OMIM:613385,MONDO:0013245,Profound
ITGA6,147556,"Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITGA6,147556,"Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITGA6,147556,"Epidermolysis bullosa, junctional, with pyloric stenosis, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITGB2,600065,"Leukocyte adhesion deficiency, 116920 (3)",Immunodeficiency,OMIM:116920,MONDO:0007293,Severe
ITGB4,147557,"Epidermolysis bullosa, junctional, with pyloric atresia, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITGB4,147557,"Epidermolysis bullosa, junctional, with pyloric atresia, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITGB4,147557,"Epidermolysis bullosa, junctional, with pyloric atresia, 226730 (3)",Cutaneous,OMIM:226730,MONDO:0009183,Severe
ITK,186973,"Lymphoproliferative syndrome 1, 613011 (3)",Immunodeficiency,OMIM:613011,MONDO:0013081,Severe
ITPR1,147265,"Gillespie syndrome, 206700 (3), Autosomal recessive",Ocular,OMIM:206700,MONDO:0008795,Profound
IVD,607036,"Isovaleric acidemia, 243500 (3)",Metabolic,OMIM:243500,MONDO:0009475,Profound
JAGN1,616012,"Neutropenia, severe congenital, 6, autosomal recessive, 616022 (3)",Immunodeficiency,OMIM:616022,MONDO:0014456,Severe
JAK3,600173,"SCID, autosomal recessive, T-negative/B-positive type, 600802 (3)",Immunodeficiency,OMIM:600802,MONDO:0010938,Severe
JAM3,606871,"Hemorrhagic destruction of the brain, subependymal calcification, and cataracts, 613730 (3)",Neurologic,OMIM:613730,MONDO:0013394,Profound
JUP,173325,"Naxos disease, 601214 (3)",Cardiovascular,OMIM:601214,MONDO:0011017,Profound
KATNB1,602703,"Lissencephaly 6, with microcephaly, 616212 (3)",Neurodegenerative,OMIM:616212,MONDO:0014534,Profound
KCNE1,176261,"Jervell and Lange-Nielsen syndrome 2, 612347 (3)",Cardiovascular,OMIM:612347,MONDO:0012871,Profound
KCNJ1,600359,"Bartter syndrome, type 2, 241200 (3)",Renal,OMIM:241200,MONDO:0009424,Profound
KCNJ10,602208,"SESAME syndrome, 612780 (3)",Developmental,OMIM:612780,MONDO:0013005,Profound
KCNJ11,600937,"Hyperinsulinemic hypoglycemia, familial, 2, 601820 (3)",Metabolic,OMIM:601820,MONDO:0011153,Moderate
KCNQ1,607542,"Jervell and Lange-Nielsen syndrome, 220400 (3)",Developmental,OMIM:220400,MONDO:0024540,Profound
KCNV2,607604,"Retinal cone dystrophy 3B, 610356 (3)",Ocular,OMIM:610356,MONDO:0012475,Moderate
KCTD7,611725,"Epilepsy, progressive myoclonic 3, with or without intracellular inclusions, 611726 (3)",Neurologic,OMIM:611726,MONDO:0012721,Profound
KDM5C,314690,"Mental retardation, X-linked, syndromic, Claes-Jensen type, 300534 (3)",Neurologic,OMIM:300534,MONDO:0010355,Profound
KIAA0586,610178,"Short-rib thoracic dysplasia 14 with polydactyly, 616546 (3), Autosomal recessive",Skeletal,OMIM:616546,MONDO:0014688,Profound
KIAA1109,611565,"Alkuraya-Kucinskas syndrome, 617822 (3), Autosomal recessive",Neurologic,OMIM:617822,MONDO:0060631,Profound
KIF14,611279,"Microcephaly 20, primary, autosomal recessive, 617914 (3)",Developmental,OMIM:617914,MONDO:0054761,Profound
KIF1A,601255,"Spastic paraplegia 30, autosomal recessive, 610357 (3)",Neuromuscular,OMIM:610357,MONDO:0012476,Severe
KIF1C,603060,"Spastic ataxia 2, autosomal recessive, 611302 (3)",Neuromuscular,OMIM:611302,MONDO:0012651,Profound
KIF7,611254,"Hydrolethalus syndrome 2, 614120 (3)",Developmental,OMIM:614120,MONDO:0013585,Severe
KIFBP,609367,"Goldberg-Shprintzen megacolon syndrome, 609460 (3)",Developmental,OMIM:609460,MONDO:0012280,Profound
KLHL40,615340,"Nemaline myopathy 8, autosomal recessive, 615348 (3)",Neuromuscular,OMIM:615348,MONDO:0014138,Profound
KLHL41,607701,"Nemaline myopathy 9, 615731 (3)",Neuromuscular,OMIM:615731,MONDO:0014326,Profound
KLHL7,611119,"PERCHING syndrome, 617055 (3)",Developmental,OMIM:617055,MONDO:0014890,Severe
KNL1,609173,"Microcephaly 4, primary, autosomal recessive, 604321 (3)",Developmental,OMIM:604321,MONDO:0011437,Profound
KPTN,615620,"Mental retardation, autosomal recessive 41, 615637 (3)",Neurologic,OMIM:615637,MONDO:0014289,Profound
KRT10,148080,"Epidermolytic hyperkeratosis, 113800 (3), Autosomal recessive",Cutaneous,OMIM:113800,MONDO:0007239,
KRT14,148066,"Epidermolysis bullosa simplex, recessive 1, 601001 (3)",Cutaneous,OMIM:601001,MONDO:0010976,Severe
KRT5,148040,"Epidermolysis bullosa simplex, recessive 1, 601001 (3)",Cutaneous,OMIM:601001,MONDO:0010976,Severe
KRT8,148060,"Cirrhosis, cryptogenic, 215600 (3)",Lysosomal,OMIM:215600,MONDO:0007329,Profound
KRT85,602767,"Ectodermal dysplasia 4, hair/nail type, 602032 (3)",Cutaneous,OMIM:602032,MONDO:0011177,Severe
KY,605739,"Myopathy, myofibrillar, 7, 617114 (3), Autosomal recessive",Neuromuscular,OMIM:617114,MONDO:0014922,Severe
L1CAM,308840,"MASA syndrome, 303350 (3)",Neuromuscular,OMIM:303350,MONDO:0010559,Profound
L2HGDH,609584,"L-2-hydroxyglutaric aciduria, 236792 (3)",Metabolic,OMIM:236792,MONDO:0009370,Profound
LAMA1,150320,"Poretti-Boltshauser syndrome, 615960 (3)",Neurodegenerative,OMIM:615960,MONDO:0014419,Profound
LAMA2,156225,"Muscular dystrophy, congenital merosin-deficient, 607855 (3)",Neuromuscular,OMIM:607855,MONDO:0011925,Profound
LAMA3,600805,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMA3,600805,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMA3,600805,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMB1,150240,"Lissencephaly 5, 615191 (3)",Neurodegenerative,OMIM:615191,MONDO:0014077,Profound
LAMB2,150325,"Pierson syndrome, 609049 (3)",Developmental,OMIM:609049,MONDO:0012184,Profound
LAMB3,150310,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMB3,150310,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMB3,150310,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMC2,150292,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMC2,150292,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMC2,150292,"Epidermolysis bullosa, junctional, Herlitz type, 226700 (3)",Cutaneous,OMIM:226700,MONDO:0009182,Profound
LAMC3,604349,"Cortical malformations, occipital, 614115 (3)",Neurologic,OMIM:614115,MONDO:0013583,Profound
